iter	Passed	Remaining
0	0	74
1	1	68
2	2	68
3	2	67
4	3	67
5	4	66
6	4	65
7	5	64
8	6	63
9	6	61
10	7	61
11	8	60
12	9	60
13	9	59
14	10	58
15	10	57
16	11	56
17	12	55
18	12	55
19	13	54
20	14	53
21	15	53
22	15	53
23	16	52
24	17	51
25	17	50
26	18	50
27	19	49
28	19	48
29	20	48
30	21	47
31	22	47
32	22	46
33	23	45
34	24	45
35	24	44
36	25	43
37	26	43
38	27	42
39	27	41
40	28	41
41	28	39
42	29	39
43	30	38
44	30	37
45	31	37
46	32	36
47	32	35
48	33	34
49	34	34
50	34	33
51	35	32
52	36	31
53	36	31
54	37	30
55	37	29
56	38	28
57	39	28
58	39	27
59	40	26
60	41	26
61	41	25
62	42	24
63	42	24
64	43	23
65	44	22
66	45	22
67	45	21
68	46	20
69	47	20
70	47	19
71	48	18
72	49	18
73	49	17
74	50	16
75	50	16
76	51	15
77	52	14
78	52	14
79	53	13
80	54	12
81	54	12
82	55	11
83	56	10
84	56	10
85	57	9
86	58	8
87	58	8
88	59	7
89	59	6
90	60	5
91	61	5
92	61	4
93	62	3
94	63	3
95	63	2
96	64	1
97	64	1
98	65	0
99	66	0
